##name	Lexique de Dune
##version	0.0.1
##website	https://github.com/WillScarlettOhara/Dictionnaires
##date	2023-03-17
##description	Dictionnaire pour faciliter la lecture de Dune de Frank Herbert (ɔ) 2023
##sourceLang	French
##targetLang	French
Aba	robe de forme vague portée par les femmes fremen. Généralement noire.
Ach	virage à gauche. Ordre lancé par le barreur du ver.
Adab	la mémoire qui exige et qui s’impose à vous.
A.G.	avant la Guilde.
Akarso	plante originaire de Sikun (70 Ophiuchi A) et caractérisée par ses feuilles oblongues. Ses rayures blanches et vertes correspondent aux zones de chlorophylle active et dormante.
Alam al-Mithal	le monde mystique des similitudes où cessent toutes limitations.
Al-Lat	le soleil originel de l’humanité. Par extension	tout soleil d’un système.
Ampoliros	le légendaire « Hollandais Volant » de l’espace.
Amtal ou règle de l’Amtal	règle en usage sur les mondes primitifs et destinée à déterminer les défauts et les aptitudes d’un homme ou d’un objet. Communément	l’épreuve de la destruction.
Aql	l’épreuve de la raison. À l’origine, les « Sept Questions Mystiques » qui commencent par	« Qui est-ce qui pense ? »
Arbitre du Changement	désigné par le Haut Conseil du Landsraad et l’Empereur pour surveiller un changement de fief, un Kanly, ou une bataille dans une Guerre des Assassins. L’autorité de l’Arbitre ne peut être contestée que devant le Haut Conseil et en présence de l’Empereur.
Arrakeen	la première base d’Arrakis qui fut longtemps le siège du gouvernement planétaire.
Arrakis	troisième planète du système de Canopus. Plus connue sous le nom de Dune.
Assemblée	différente du Conseil, l’Assemblée est la convocation des chefs fremen afin d’assister à un combat pour le pouvoir tribal. (Un Conseil est une assemblée qui tranche des problèmes intéressant toutes les tribus.)
Auliya	dans la religion des Vagabonds Zensunni, la femme à la main gauche de Dieu, la servante de Dieu.
Aumas	poison administré avec la nourriture. (Plus particulièrement	avec la nourriture solide.) Chaumas dans certains dialectes.
Ayat	les signes de vie. (Voir Burhan.)
Bakka	dans la légende fremen, celui qui pleure pour toute l’humanité.
Baklawa	pâtisserie à base de sirop de datte.
Balisette	instrument de musique à neuf cordes, descendant de la zithra, accordé selon la gamme de Chusuk et dont on pince les cordes. Instrument favori des troubadours impériaux.
Baramark	pistolet à poudre et à électricité statique conçu sur Arrakis pour tracer de vastes signes sur le sable.
Baraka	homme saint aux pouvoirs magiques.
Bashar	officier sardaukar qui, selon la hiérarchie militaire classique, est à un degré au-dessus d’un colonel. Désigne également le responsable militaire d’un sous-district planétaire.
Bataille	tout langage spécial à l’étymologie restreinte et destiné aux communications en temps de guerre.
Bedwine	voir Ichwan Bedwine.
Bela Tegeuse	cinquième planète de Kuentsing. Troisième station du Zensunni, la migration forcée des Fremen.
Bene Gesserit	ancienne école d’éducation et d’entraînement physique et mental réservée à l’origine aux étudiants de sexe féminin après que le Jihad Butlérien eut détruit les prétendues « machines pensantes » et les robots.
B.G.	sigle pour « Bene Gesserit ».
Bhotani-jib	voir Chakobsa.
Bible Catholique Orange	le « Livre des Accumulations ». Texte religieux produit par la Commission des Interprètes Œcuméniques, contenant des éléments empruntés aux religions anciennes, du Moameth Saari, de la Chrétienté Mahayana, du Catholicisme Zensunni et des traditions Bouddislamiques. Son commandement suprême est	« Point ne déformeras l’âme. »
Bi-la kaifa	Amen. (Littéralement	« Toute autre explication est inutile. »)
Bindu	en rapport avec le système nerveux humain et, plus particulièrement, avec l’entraînement nerveux. (Voir Prana.)
Bindu	forme particulière de catalepsie volontaire.
Bled	désert plat.
Bobine	désigne toute impression sur shigavrille utilisée pour l’éducation et chargée d’une impulsion mnémonique.
Bordure	second niveau de la grande falaise du Bouclier d’Arrakis. (Voir Bouclier.)
Bouclier	champ de protection produit par un générateur Holtzman. Résulte de la Phase Un de l’effet d’annulation gravifique. Un bouclier ne peut être pénétré que par des mobiles à faible vitesse (cette vitesse allant de six à neuf centimètres par seconde) et ne peut être détruit que par un champ électrique de vastes dimensions. Désigne également une formation montagneuse du nord d’Arrakis qui protège un territoire de faible étendue des tempêtes coriolis.
Bourka	manteau isolant porté par les Fremen dans le désert.
Brilleur	dispositif d’éclairage autonome (généralement équipé de piles organiques) et muni de suspenseurs.
Burhan	les preuves de vie. (Communément	l’ayat et le burhan de vie. Voir Ayat.)
Burseg	général des Sardaukars.
Butlérien	voir Jihad (également Grande Révolte).
Caïd	officier sardaukar plus particulièrement chargé des rapports avec les civils. Gouverneur militaire d’un district planétaire. Supérieur au Bashar sans être toutefois égal au Burseg.
Caladan	troisième planète de Delta Pavonis	Monde natal de Paul-Muad’Dib.
Canto et respondu	rite d’invocation de la panoplia propheticus de la Missionaria Protectiva.
Carte des creux	carte de la surface d’Arrakis faisant apparaître les routes de paracompas les plus sûres entre les refuges. (Voir Paracompas.)
Cavalier des sables	terme fremen désignant celui qui est capable de capturer et de chevaucher un ver des sables.
Chakobsa	le « langage magnétique » dérivé en partie de l’ancien bhotani (bhotani-jib, jib signifiant « dialecte »). Formé de plusieurs dialectes modifiés pour les besoins du secret, et surtout du langage de chasse des Bhotani, les mercenaires de la première Guerre des Assassins.
Chaumas	poison administré dans la nourriture solide par distinction avec tout poison administré sous une autre forme.
Chaumurky	poison administré dans une boisson.
Chenille	désigne tout engin destiné à opérer à la surface d’Arrakis et à participer à la récolte de l’épice.
Cheops	jeu des pyramides. Forme de jeu d’échecs à neuf niveaux dont le but est de placer la reine en apex et le roi adverse en échec.
Chercheur-tueur	petite aiguille de métal munie de suspenseurs et dirigée à distance. Moyen d’assassinat courant.
Choses sombres	expression idiomatique désignant les superstitions infectieuses enseignées par la Missionaria Protectiva aux civilisations sensibles.
Cherem	fraternité de la haine.
CHOM	sigle pour Combinat des Honnêtes Ober Marchands. Compagnie universelle contrôlée par l’Empereur et les Grandes Maisons avec la Guilde et le Bene Gesserit comme associés sans droit de vote.
Chusuk	quatrième planète de Téta Shalish, appelée encore « Planète des Musiciens » et renommée pour la qualité des instruments qui y sont fabriqués. (Voir Varota.)
Cielago	Chiroptère d’Arrakis modifié dans le but d’acheminer les messages distrans.
Collecteurs de rosée ou précipitateurs	à ne pas confondre avec Récolteurs de rosée. Les collecteurs et précipitateurs sont des appareils de forme ovoïde longs d’environ quatre centimètres. Ils sont faits d’un chromo-plastique qui, soumis à la lumière, devient blanc et la reflète pour retrouver sa transparence dans l’obscurité. Les collecteurs constituent une surface froide sur laquelle la rosée de l’aube se condense. Les Fremen les utilisent surtout dans les plantations des bassins afin de recueillir un petit appoint d’eau.
Cône de silence	champ de distorsion qui limite la portée d’une voix ou de toute autre forme de vibration par la projection d’une vibration identique en opposition de phase.
Coriolis	désigne toute tempête d’ordre majeur sur Arrakis où les vents, soufflant sur les plaines, voient leur force accrue par la révolution de la planète pour atteindre parfois 700 kilomètres à l’heure.
Corrin	la bataille qui donna son nom à la Maison Corrino. Elle eut lieu près de Sigma Dragonis en l’an 88 A.G. et établit le pouvoir de la Maison régnante de Salusa Secundus.
Creux	dépression formée à la suite des mouvements des couches métamorphiques sous-jacentes.
Cristacier	acier stabilisé par des fibres de stravidium insérées dans sa structure cristalline.
Cuvette	sur Arrakis, désigne toute dépression ou région de basse altitude formée par l’effondrement des couches souterraines. (Sur les planètes pourvues d’eau, une cuvette indique une région autrefois occupée par un plan d’eau. On a relevé une seule trace de ce genre sur Arrakis mais la question est loin d’être résolue.)
Dar al-hikman	école religieuse de traduction et d’interprétation.
Derch	virage à gauche. Ordre lancé par le barreur du ver.
Demi-frères	fils de concubines d’une même demeure et ayant le même père.
Dictum familia	règle de la Grande Convention qui interdit le meurtre d’une personne royale ou d’un membre d’une Grande Maison par une traîtrise illégale. La règle définit la forme et les limitations de l’assassinat.
Discipline de l’eau	inflexible, elle permet aux habitants d’Arrakis de survivre sans gaspiller l’humidité.
Diseuse de vérité	Révérende Mère qualifiée pour entrer en transe et distinguer la vérité du mensonge.
Distille	vêtement mis au point sur Arrakis et fait d’un tissu dont la fonction est de récupérer l’eau d’évaporation du corps et des déjections organiques. L’eau ainsi recyclée est recueillie dans des poches et peut être à nouveau absorbée à l’aide d’un tube.
Distrans	appareil utilisé pour pratiquer une impression neurale sur le système nerveux des oiseaux ou chiroptères. Le message s’intègre au cri normal de la créature et peut être lu par un autre distrans.
Dunes	désigne tous ceux qui travaillent dans le sable (chasseurs d’épice et autres), sur Arrakis.
Eau de Vie	poison d’« illumination ». (Voir Révérende Mère.) Liquide produit par un ver des sables (voir Shai-hulud) lorsqu’il meurt noyé et qui, transformé par l’organisme de la Révérende Mère, devient un narcotique provoquant l’orgie du tau.
Ecaz	quatrième planète d’Alpha Centauri B. Paradis des sculpteurs à cause du bois-brouillard, substance végétale que la seule pensée humaine parvient à façonner.
Ego-simule	portrait exécuté à l’aide d’un projecteur à shigavrille. Il reproduit les mouvements les plus subtils et l’on dit qu’il recèle l’essence de l’ego.
Elacca	narcotique obtenu par la torréfaction de bois d’elacca d’Ecaz. À pour effet d’atténuer dans des proportions majeures l’instinct de conservation. Confère à la peau une coloration carotte caractéristique. Généralement utilisé pour préparer les esclaves-gladiateurs pour l’arène.
El-sayal	la « pluie de sable ». Masse de poussière soulevée à une altitude moyenne (environ 2 000 mètres) par une tempête coriolis et qui, en retombant au sol, ramène fréquemment de l’humidité.
Éperonneur	vaisseau spatial de combat formé de la réunion de plusieurs petits vaisseaux et destiné à détruire les positions ennemies en les écrasant sous son poids.
Entraînement	associé au Bene Gesserit, désigne tout un système d’éducation, de conditionnement nerveux et musculaire (voir Bindu et Prana) poussé aux limites des fonctions naturelles.
Épice	voir Mélange.
Conducteur d’épice	tout homme de Dune qui commande et pilote un engin à la surface d’Arrakis.
Usine à épice	voir Chenille.
Erg	mer de sable, zone de dunes.
Étrange	méthode de combat qui participe de la sorcellerie et de la magie.
Fai	le tribut d’eau. Le principal impôt d’Arrakis.
Faiseur	voir Shai-hulud.
Fanemétal	métal formé par l’addition de cristaux de jasmium dans du duraluminium. Apprécié pour son rapport poids/résistance particulièrement élevé.
Fardeau de l’eau	pour les Fremen, une obligation mortelle.
Faufreluches	système de classes rigide mis en place par l’Imperium. « Une place pour chaque homme et chaque homme à sa place. »
Fedaykin	commandos de la mort fremen. À l’origine formés pour redresser les torts.
Feu	pyrofusée de signalisation dans le désert.
Filtre	dispositif dont est muni un distille et qui permet de récupérer l’humidité de la respiration.
Fiqh	connaissance, loi religieuse. L’une des origines semi-légendaires de la religion des Vagabonds Zensunni.
Frégate	grand astronef qui peut se poser sur une planète.
