##name	Lexique de Warhammer 40000
##version	0.0.3
##website	https://github.com/WillScarlettOhara/Dictionnaires
##date	2023-11-09
##description	Dictionnaire pour faciliter la lecture des livres Warhammer 400000 (ɔ) 2023
##sourceLang	French
##targetLang	French
1008ème Régiment de Catachan	Le MVIIIème Catachan, surnommé "Les Serpents Noirs", est un régiment des Gardes de la Jungle de Catachan. 1
1014ème Régiment de Catachan	Le MXIVème Catachan, surnommé "Les Guetteurs Invisibles", est un régiment des Gardes de la Jungle de Catachan. 1
12ème Croisade Noire	La 12ème Croisade Noire est l'une des guerres menées par Abaddon le Fléau contre l'Imperium, également connue sous le nom de Guerre Gothique.
12ème Régiment de Catachan	Le XIIème Catachan est un régiment des Gardes de la Jungle de Catachan. 1
13ème/23ème Tiger Lizards	Le 13ème/23ème Tiger Lizards est un régiment de la Garde Impériale connu pour s'être battu contre les Tyranides. [Source?]
13ème/5ème Armée Impériale	La 13ème/5ème Armée Impériale, aussi connue sous la dénomination Démons d'Hylgar, était une formation de la Garde Impériale. Bien qu'enregistrée dans les rapports impériaux comme une formation impériale du 41e millénaire (Active entre c.975 - 988.M41), beaucoup de ses éléments sont en fait fortement archaïques. Ce que l’on sait c’est que son nom régimentaire le désigne comme la 13ème Armée Impériale du 5ème quadrant et qu'elle est commandé par Julius Hylgar, un membre sénior de l'Administratum.
13ème Croisade Noire	La 13ème Croisade Noire est l'une des guerres menées par Abaddon le Fléau contre l'Imperium.
14ème Régiment de Catachan	Le XIVème Catachan est un régiment des Gardes de la Jungle de Catachan. 1
17ème/21ème Tiger Lizards	Le 17ème/21ème Tiger Lizards est un régiment de la Garde Impériale connu pour avoir existé en M30. [Source?]
17ème Régiment	Le 17ème Régiment est une unité de la Garde Impériale. 1
17ème Régiment de Catachan	Le XVIIème Catachan, surnommé "Les Diables Hurlants", est un régiment des Gardes de la Jungle de Catachan. 1
183ème Régiment de Catachan	Le CLXXXIIIème Catachan est un régiment des Gardes de la Jungle de Catachan. 1
18ème Régiment de Catachan	Le XVIIIème Catachan, surnommé "Les Rats des Marais", est un régiment des Gardes de la Jungle de Catachan. 1
197ème Régiment d'Agripinaa	Le 197ème Régiment d'Agripinaa est un régiment de la Garde Impériale. 1
1er Régiment	Le 1er Régiment, surnommé The Big One1b, est une unité de la Garde Impériale.1a
1er et Unique Régiment de Tanith	Le Premier et Unique de Tanith, aussi appelé les « Fantômes » ou les « Fantômes de Gaunt » est un régiment de la Garde Impériale. 2
201/23/GS/N.35/4	201/23/GS/N.35/4 est un Monde Mort du Secteur Gothique non baptisé. 1
20ème Régiment de Phantine	Le XXème Phantine, aussi appelée "Umbra", est une escadrille du Corps aérien de Phantine. 1-p.44
21ème Régiment de Phantine	Le XXIème Phantine, aussi appelée Halo, est une escadrille du Corps aérien de Phantine. 1-p.28
21ème d'Infantrie	Le 21ème d'Infanterie est une unité de la Garde Impériale. 1
22ème Régiment de Catachan	Le XXIIème Catachan ou XXIIème Groupe d'Assaut Aéroporté de Catachan 2, surnommé "Les Constrictors" 3, est un régiment des Gardes de la Jungle de Catachan. 1
23ème Régiment Cadien	Le 23ème Cadien (ou Cadian), surnommé «Les Veinards » 5, fut un régiment des Troupes d'Assaut Cadiennes. 1
24ème Grenadiers	Le 24ème Grenadiers est une unité de la Garde Impériale. 1
24ème Régiment de Catachan	Le XXIVème Catachan, surnommé Les Tueurs Invisibles, est un régiment des Gardes de la Jungle de Catachan. 1
24ème Régiment de Cavalerie d'Amistel	Le 24ème Régiment de Cavalerie d'Amistel est une unité de la Garde Impériale. 1
25ème Régiment Rigellien	Le XXVème Rigellien fut un régiment de la Garde Impériale. 1
26/A	26/A est une Station Spatiale, servant de Dock Orbital à la Flotte Impériale, dont la position exacte est inconnue. 1
26ème Régiment de Catachan	Le XXVIème Catachan, surnommé "Les Cobras Rôdeurs", est un régiment des Gardes de la Jungle de Catachan. 1
2ème Régiment d'Agripinaa	Le 2ème Régiment d'Agripinaa est un régiment de la Garde Impériale. 1
2ème Régiment de Catachan	Le IIème Catachan est un régiment des Gardes de la Jungle de Catachan. 1
303ème Régiment de Mordant	Le 303ème Régiment de Mordant, surnommé Les Chiens Acides, est un régiment de la Garde Impériale. 1
30 centimètres d'Acier (Roman)	"30 centimètres d'Acier" est le 3ème tome de La Sainte, Cycle second des Fantômes de Gaunt décrivant les aventures du Commissaire Ibram Gaunt et des soldats du 1ère et unique régiment levé sur Tanith avant sa destruction, les célèbres Fantômes de Gaunt.1
391ème Régiment de Catachan	Le CCCXCIème Catachan, surnommé "Les Cobras", est un régiment des Gardes de la Jungle de Catachan. 1
3ème Régiment	Le 3ème Régiment, surnommé les Wrecking crew, est une unité de la Garde Impériale. 1
3ème Régiment de Catachan	Le IIIème Catachan, surnommé "Les Diables Verts", est un régiment des Gardes de la Jungle de Catachan. 1
4ème Juntareis de Nadir-Maru	Le 4ème Juntareis de Nadir-Maru fut un régiment de l' Armée Impériale durant l'Hérésie d'Horus. 1
4ème Régiment de Catachan	Le IVème Catachan, surnommé "Les Headhunters", fut un régiment des Gardes de la Jungle de Catachan. 1
51ème Régiment de Catachan	Le LIème Catachan, surnommé "Les Vipères Noires", est un régiment des Gardes de la Jungle de Catachan. 1
53ème Régiment	Le 53ème Régiment est une unité de la Garde Impériale. 1
56ème Régiment de Catachan	Le LVIème Catachan, surnommé "Les Crotales", est un régiment des Gardes de la Jungle de Catachan. 1
5ème Régiment	Le 5ème Régiment est une unité de la Garde Impériale. 1
5ème Régiment de Catachan	Le Vème Catachan est un régiment des Gardes de la Jungle de Catachan. 1
61ème/320ème Régiment Orenian	Le 61ème/320ème Orenian est un régiment de la Garde Impériale connu pour avoir existé en M30. [Source?]
62ème Régiment	Le 62ème Régiment est une unité de la Garde Impériale.1
65ème Régiment d'Agripinaa	Le 65ème Régiment d'Agripinaa est un régiment de la Garde Impériale. 1
6ème Régiment de Catachan	Le VIème Catachan est un régiment des Gardes de la Jungle de Catachan. 1
